ID,Name,Status,Score,JoinDate
30,Alice,,98.59,'02-18-2023'
14,Diana,Pending,120.09,'12-26-2023'
18,Diana,Inactive,58.26,'11-05-2023'
10,Hank,Pending,72.49,'08-03-2023'
7,Frank,Active,71.26,'01-21-2023'
13,Diana,Active,76.04,'04-10-2023'
8,Bob,,78.39,'04-13-2023'
45,Frank,,66.22,'01-21-2023'
40,Hank,Active,79.94,'09-01-2023'
16,Bob,,98.26,'05-11-2023'
48,Grace,,50.03,'10-01-2023'
27,Charlie,Pending,83.44,'09-10-2023'
9,Charlie,Inactive,,'05-02-2023'
31,Alice,Inactive,86.09,'02-28-2023'
22,Eve,Inactive,85.57,'07-11-2023'
35,Diana,Pending,60.09,'07-09-2023'
20,Grace,,69.74,'12-10-2023'
29,Bob,Pending,78.06,'12-11-2023'
5,Charlie,Inactive,58.67,'03-13-2023'
25,Grace,,92.5,'11-10-2023'
38,Hank,Active,80.22,'12-30-2023'
11,Eve,,96.33,'11-27-2023'
4,Diana,Active,80.5,'04-17-2023'
34,Eve,Active,55.54,'09-28-2023'
6,Bob,Inactive,59.11,'07-08-2023'
26,Charlie,Pending,54.77,'01-22-2023'
43,Eve,Active,72.83,'11-03-2023'
21,Frank,Pending,50.7,'10-21-2023'
36,Hank,Inactive,73.77,'06-24-2023'
19,Diana,Active,,'09-15-2023'
3,Grace,Pending,62.05,'09-28-2023'
1,Eve,Pending,69.27,'04-13-2023'
46,Eve,Active,67.81,'11-25-2023'
23,Eve,Inactive,80.3,'10-04-2023'
28,Diana,Inactive,79.56,'08-24-2023'
41,Frank,Pending,94.02,'11-16-2023'
50,Eve,Active,76.7,'11-12-2023'
17,Charlie,Pending,63.8,'05-30-2023'
43,Eve,Active,72.83,'11-03-2023'
3,Grace,Pending,62.05,'09-28-2023'
2,Hank,Inactive,,'12-15-2023'
39,Hank,Active,60.15,'02-24-2023'
12,Frank,Inactive,66.33,'03-29-2023'
41,Frank,Pending,94.02,'11-16-2023'
49,Hank,Active,65.24,'03-30-2023'
47,Charlie,,63.61,'06-16-2023'
32,Grace,,62.8,'06-19-2023'
15,Diana,Inactive,76.98,'06-01-2023'
24,Grace,Active,82.55,'06-10-2023'
44,Diana,Pending,70.83,'05-15-2023'
42,Alice,,64.78,'05-11-2023'
1,Eve,Pending,69.27,'04-13-2023'
33,Hank,Active,,'07-07-2023'
37,Frank,,84.78,'02-20-2023'
